gene,row
A2M,1
ABCB1,2
ABCB11,3
ABCB4,4
ABCC1,5
ABCC3,6
ABCF1,7
ABI1,8
ABL2,9
ACAA1,10
ACACA,11
ACAD8,12
ACADL,13
ACADM,14
ACD,15
ACKR3,16
ACO1,17
ACOX1,18
ACOX2,19
ACOX3,20
ACP1,21
ACSL1,22
ACSL3,23
ACSL4,24
ACSL5,25
ACSL6,26
ACSS1,27
ACSS2,28
ACTB,29
ACTG1,30
ACTG2,31
ACTN1,32
ACTN2,33
ACTN3,34
ACTN4,35
ACVR1,36
ACVR1B,37
ACVR1C,38
ACVR2A,39
ACVR2B,40
ADAM10,41
ADCY1,42
ADGRB1,43
ADGRE5,44
ADGRL2,45
ADH1A,46
ADH1B,47
ADH1C,48
ADH4,49
ADH5,50
ADH6,51
ADH7,52
ADIPOQ,53
ADORA3,54
ADPGK,55
AFF2,56
AFF3,57
AFF4,58
AGER,59
AGRN,60
AHCTF1,61
AHNAK,62
AHR,63
AHSG,64
AIF1,65
AIFM1,66
AIMP1,67
AKAP9,68
AKR1A1,69
AKT1,70
AKT2,71
AKT3,72
ALDH1A3,73
ALDH1B1,74
ALDH2,75
ALDH3A1,76
ALDH3A2,77
ALDH3B1,78
ALDH3B2,79
ALDH7A1,80
ALDH9A1,81
ALDOA,82
ALDOB,83
ALDOC,84
ALK,85
ALOX15,86
ALOX5,87
AMER1,88
AMH,89
AMHR2,90
AMOT,91
ANAPC1,92
ANAPC10,93
ANAPC11,94
ANAPC13,95
ANAPC2,96
ANAPC4,97
ANAPC5,98
ANAPC7,99
ANGPTL4,100
ANK3,101
ANXA1,102
AOAH,103
AOC3,104
AOX1,105
APAF1,106
APC,107
APC2,108
APCS,109
APEX1,110
APEX2,111
APOA1,112
APOA2,113
APOA5,114
APOC3,115
APOL2,116
APOL3,117
APPL1,118
AQP7,119
AQR,120
AR,121
ARAF,122
ARAP3,123
AREG,124
ARFGAP1,125
ARFGAP3,126
ARFGEF1,127
ARHGAP26,128
ARHGAP29,129
ARHGAP35,130
ARHGAP5,131
ARHGEF2,132
ARHGEF6,133
ARID2,134
ARID4A,135
ARID4B,136
ARID5B,137
ARNT,138
ARNT2,139
ARNTL,140
ARRB1,141
ARRB2,142
ASH1L,143
ASPM,144
ASPSCR1,145
ASXL1,146
ASXL2,147
ASXL3,148
ATF1,149
ATF2,150
ATF4,151
ATIC,152
ATP2B3,153
ATP6AP2,154
ATRN,155
ATRX,156
AXIN1,157
AXIN2,158
AZU1,159
B4GALT1,160
BAD,161
BAIAP2,162
BAX,163
BAZ2B,164
BBC3,165
BCAR1,166
BCL11A,167
BCL11B,168
BCL2L1,169
BCL3,170
BCL7A,171
BCL9,172
BCOR,173
BDKRB1,174
BDKRB2,175
BDNF,176
BID,177
BIRC2,178
BIRC5,179
BLM,180
BLNK,181
BMP2,182
BMP4,183
BMP5,184
BMP6,185
BMP7,186
BMP8A,187
BMP8B,188
BMPR1A,189
BMPR1B,190
BMPR2,191
BNC2,192
BPGM,193
BPTF,194
BRAF,195
BRCA1,196
BRIP1,197
BRWD1,198
BTC,199
BTG1,200
BTK,201
BTRC,202
BUB1,203
BUB3,204
C3,205
C3AR1,206
C4A,207
C4B,208
C5,209
CAB39,210
CAB39L,211
CACNA1A,212
CACNA1B,213
CACNA1C,214
CACNA1E,215
CACNA1F,216
CACNA1G,217
CACNA1H,218
CACNA1I,219
CACNA1S,220
CACNA2D1,221
CACNA2D2,222
CACNA2D3,223
CACNA2D4,224
CACNB1,225
CACNB2,226
CACNB3,227
CACNB4,228
CACNG1,229
CACNG2,230
CACNG3,231
CACNG4,232
CACNG5,233
CACNG6,234
CACNG7,235
CACNG8,236
CACYBP,237
CAD,238
CAMK2A,239
CAMK2B,240
CAMK2D,241
CAMK2G,242
CANT1,243
CAPN1,244
CAPN2,245
CAPN7,246
CARD11,247
CARD18,248
CARM1,249
CARS,250
CASC5,251
CASP1,252
CASP10,253
CASP3,254
CASP6,255
CASP7,256
CASP8,257
CASP9,258
CAST,259
CAT,260
CAV1,261
CAV2,262
CAV3,263
CBFA2T3,264
CBFB,265
CBLB,266
CBLC,267
CCAR1,268
CCDC6,269
CCL1,270
CCL11,271
CCL13,272
CCL14,273
CCL15,274
CCL16,275
CCL17,276
CCL18,277
CCL19,278
CCL2,279
CCL20,280
CCL21,281
CCL22,282
CCL23,283
CCL24,284
CCL25,285
CCL26,286
CCL27,287
CCL28,288
CCL3,289
CCL3L1,290
CCL3L3,291
CCL4,292
CCL4L1,293
CCL4L2,294
CCL5,295
CCL7,296
CCL8,297
CCNA1,298
CCNA2,299
CCNB1,300
CCNB1IP1,301
CCNB2,302
CCNB3,303
CCND1,304
CCND2,305
CCNE1,306
CCNE2,307
CCNG1,308
CCNG2,309
CCNH,310
CCR1,311
CCR10,312
CCR2,313
CCR3,314
CCR4,315
CCR5,316
CCR6,317
CCR7,318
CCR8,319
CCR9,320
CCT5,321
CD14,322
CD163,323
CD180,324
CD19,325
CD22,326
CD24,327
CD244,328
CD247,329
CD27,330
CD274,331
CD28,332
CD36,333
CD3D,334
CD3E,335
CD3G,336
CD4,337
CD40,338
CD40LG,339
CD44,340
CD47,341
CD48,342
CD70,343
CD72,344
CD74,345
CD79A,346
CD79B,347
CD81,348
CD82,349
CD8A,350
CD8B,351
CDC14A,352
CDC14B,353
CDC16,354
CDC20,355
CDC23,356
CDC25A,357
CDC25B,358
CDC25C,359
CDC26,360
CDC27,361
CDC42,362
CDC45,363
CDC6,364
CDC7,365
CDC73,366
CDH1,367
CDH11,368
CDH12,369
CDK1,370
CDK12,371
CDK2,372
CDK4,373
CDK6,374
CDK7,375
CDKN1B,376
CDKN1C,377
CDKN2B,378
CDKN2D,379
CDO1,380
CEBPA,381
CEBPB,382
CEP290,383
CEP89,384
CER1,385
CETN2,386
CFLAR,387
CHAD,388
CHCHD7,389
CHD1L,390
CHD3,391
CHD4,392
CHD6,393
CHD8,394
CHD9,395
CHEK1,396
CHIC2,397
CHN1,398
CHP1,399
CHP2,400
CHRD,401
CHST1,402
CHST2,403
CHST4,404
CHUK,405
CIC,406
CIITA,407
CISH,408
CKS1B,409
CLASP2,410
CLCC1,411
CLCF1,412
CLEC7A,413
CLIP1,414
CLOCK,415
CLP1,416
CLSPN,417
CLTC,418
CNOT1,419
CNOT3,420
CNOT4,421
CNR2,422
CNTF,423
CNTFR,424
CNTNAP1,425
COL11A1,426
COL11A2,427
COL1A1,428
COL1A2,429
COL2A1,430
COL3A1,431
COL4A1,432
COL4A2,433
COL4A4,434
COL4A6,435
COL5A1,436
COL5A2,437
COL5A3,438
COL6A1,439
COL6A2,440
COL6A3,441
COL6A6,442
COMP,443
COPS2,444
COX6C,445
CPT1A,446
CPT1B,447
CPT1C,448
CPT2,449
CR2,450
CREB1,451
CREB3L1,452
CREB3L2,453
CREBBP,454
CRH,455
CRK,456
CRKL,457
CRLF2,458
CRNKL1,459
CRP,460
CRTC3,461
CSDE1,462
CSF1,463
CSF1R,464
CSF2,465
CSF2RA,466
CSF2RB,467
CSF3,468
CSH1,469
CSNK1A1,470
CSNK1A1L,471
CSNK1E,472
CSNK1G3,473
CSNK2A1,474
CSNK2A2,475
CSNK2B,476
CTBP1,477
CTBP2,478
CTCF,479
CTF1,480
CTLA4,481
CTNNA1,482
CTNNA2,483
CTNNA3,484
CTNNBIP1,485
CTNND1,486
CTTN,487
CUL1,488
CUL2,489
CUL3,490
CUL4A,491
CUL4B,492
CUX1,493
CX3CL1,494
CX3CR1,495
CXCL1,496
CXCL10,497
CXCL11,498
CXCL12,499
CXCL13,500
CXCL14,501
CXCL16,502
CXCL2,503
CXCL3,504
CXCL5,505
CXCL6,506
CXCL8,507
CXCL9,508
CXCR1,509
CXCR2,510
CXCR3,511
CXCR4,512
CXCR5,513
CXCR6,514
CXXC4,515
CYBA,516
CYBB,517
CYCS,518
CYLD,519
CYP27A1,520
CYP4A11,521
CYP4A22,522
CYP4F11,523
CYP7A1,524
CYP8B1,525
CYSLTR1,526
CYTH4,527
DAAM1,528
DAAM2,529
DAG1,530
DAPK1,531
DAPK2,532
DAPK3,533
DAPP1,534
DBF4,535
DBI,536
DCLRE1C,537
DCN,538
DCTN1,539
DDB1,540
DDB2,541
DDIT3,542
DDIT4,543
DDX3X,544
DDX5,545
DEK,546
DEPDC1B,547
DFFA,548
DFFB,549
DHX15,550
DHX35,551
DHX9,552
DIAPH1,553
DICER1,554
DKC1,555
DKK1,556
DKK2,557
DKK4,558
